order_id,user_id,product_id,post_id,bandId,customer_name,customer_bandId,customer_profile,quantity,price,total_amount,comment,status,ordered_at,confirmed_at,completed_at,band_comment_id,band_comment_url,admin_note,updated_at,history,canceled_at,price_option_used,content
82443310_26179_9,f2daf0ee-fdb4-4c04-bcc4-6669a30d7d35,a826d775fd7c8bf2db9e04cbe546e75312b0bdf244985bf1a1c45e3b55033ae9,26179,82443310,가빈과일첫째,,,2,5900,11800,@고민이네 감사합니다11,주문완료,2025-03-31 02:44:00+00,,,26179_comment_9,https://band.us/band/82443310/post/26179#comment,,,,,800g 봉지 x 2,
82443310_26180_0,f2daf0ee-fdb4-4c04-bcc4-6669a30d7d35,4118723bbae8d562c6d2a41d5fdd1b2bd2e2fa07591fa75fb7cae1bb59bf75a8,26180,82443310,케케케,,,1,9900,9900,1세트요,주문완료,2025-03-31 01:59:00+00,,,26180_comment_0,https://band.us/band/82443310/post/26180#comment,,,,,기본가,
82443310_26180_1,f2daf0ee-fdb4-4c04-bcc4-6669a30d7d35,4118723bbae8d562c6d2a41d5fdd1b2bd2e2fa07591fa75fb7cae1bb59bf75a8,26180,82443310,가빈과일첫째,,,4,9900,39600,@케케케 감사합니다1,주문완료,2025-03-31 02:22:00+00,,,26180_comment_1,https://band.us/band/82443310/post/26180#comment,,,,,기본가,
82443310_26180_2,f2daf0ee-fdb4-4c04-bcc4-6669a30d7d35,4118723bbae8d562c6d2a41d5fdd1b2bd2e2fa07591fa75fb7cae1bb59bf75a8,26180,82443310,단풍조아,,,1,9900,9900,1세트요,주문완료,2025-03-31 02:35:00+00,,,26180_comment_2,https://band.us/band/82443310/post/26180#comment,,,,,기본가,
82443310_26180_3,f2daf0ee-fdb4-4c04-bcc4-6669a30d7d35,4118723bbae8d562c6d2a41d5fdd1b2bd2e2fa07591fa75fb7cae1bb59bf75a8,26180,82443310,가빈과일첫째,,,4,9900,39600,@단풍조아 감사합니다2,주문완료,2025-03-31 02:56:00+00,,,26180_comment_3,https://band.us/band/82443310/post/26180#comment,,,,,기본가,
82443310_26180_4,f2daf0ee-fdb4-4c04-bcc4-6669a30d7d35,4118723bbae8d562c6d2a41d5fdd1b2bd2e2fa07591fa75fb7cae1bb59bf75a8,26180,82443310,밝은안경,,,2,9900,19800,2세트요,주문완료,2025-03-31 03:47:00+00,,,26180_comment_4,https://band.us/band/82443310/post/26180#comment,,,,,기본가,
82443310_26180_5,f2daf0ee-fdb4-4c04-bcc4-6669a30d7d35,4118723bbae8d562c6d2a41d5fdd1b2bd2e2fa07591fa75fb7cae1bb59bf75a8,26180,82443310,가빈과일첫째,,,4,9900,39600,@밝은안경 감사합니다4,주문완료,2025-03-31 04:11:00+00,,,26180_comment_5,https://band.us/band/82443310/post/26180#comment,,,,,기본가,
82443310_26180_6,f2daf0ee-fdb4-4c04-bcc4-6669a30d7d35,4118723bbae8d562c6d2a41d5fdd1b2bd2e2fa07591fa75fb7cae1bb59bf75a8,26180,82443310,깨비4575,,,2,9900,19800,2봉이요~,수령완료,2025-03-31 05:22:00+00,,2025-03-31 15:26:25.249+00,26180_comment_6,https://band.us/band/82443310/post/26180#comment,,2025-03-31 15:26:25.249+00,,,기본가,
82443310_26180_7,f2daf0ee-fdb4-4c04-bcc4-6669a30d7d35,4118723bbae8d562c6d2a41d5fdd1b2bd2e2fa07591fa75fb7cae1bb59bf75a8,26180,82443310,가빈과일첫째,,,4,9900,39600,@깨비4575 감사합니다6,주문완료,2025-03-31 05:35:00+00,,,26180_comment_7,https://band.us/band/82443310/post/26180#comment,,,,,기본가,
82443310_26181_0,f2daf0ee-fdb4-4c04-bcc4-6669a30d7d35,2e0c8394d468126a4665d2601c4fd1b5784e5e7611d76aa66a83d2593d014966,26181,82443310,박세연,,,2,9900,19800,2팩요,주문완료,2025-03-31 03:00:00+00,,,26181_comment_0,https://band.us/band/82443310/post/26181#comment,,,,,한팩 x 2,
82443310_26181_1,f2daf0ee-fdb4-4c04-bcc4-6669a30d7d35,2e0c8394d468126a4665d2601c4fd1b5784e5e7611d76aa66a83d2593d014966,26181,82443310,가빈과일첫째,,,3,9900,29700,@박세연 감사합니다2,주문완료,2025-03-31 03:02:00+00,,,26181_comment_1,https://band.us/band/82443310/post/26181#comment,,,,,한팩 x 3,
82443310_26181_2,f2daf0ee-fdb4-4c04-bcc4-6669a30d7d35,2e0c8394d468126a4665d2601c4fd1b5784e5e7611d76aa66a83d2593d014966,26181,82443310,채원.준우맘,,,1,9900,9900,한팩,주문완료,2025-03-31 03:51:00+00,,,26181_comment_2,https://band.us/band/82443310/post/26181#comment,,,,,한팩,
82443310_26181_3,f2daf0ee-fdb4-4c04-bcc4-6669a30d7d35,2e0c8394d468126a4665d2601c4fd1b5784e5e7611d76aa66a83d2593d014966,26181,82443310,가빈과일첫째,,,4,9900,39600,@채원.준우맘 감사합니다3,주문완료,2025-03-31 04:11:00+00,,,26181_comment_3,https://band.us/band/82443310/post/26181#comment,,,,,한팩 x 4,
82443310_26181_4,f2daf0ee-fdb4-4c04-bcc4-6669a30d7d35,2e0c8394d468126a4665d2601c4fd1b5784e5e7611d76aa66a83d2593d014966,26181,82443310,유정,,,2,9900,19800,2팩이요,주문완료,2025-03-31 04:24:00+00,,,26181_comment_4,https://band.us/band/82443310/post/26181#comment,,,,,한팩 x 2,
82443310_26181_5,f2daf0ee-fdb4-4c04-bcc4-6669a30d7d35,2e0c8394d468126a4665d2601c4fd1b5784e5e7611d76aa66a83d2593d014966,26181,82443310,가빈과일첫째,,,4,9900,39600,@유정 감사합니다5,주문완료,2025-03-31 04:44:00+00,,,26181_comment_5,https://band.us/band/82443310/post/26181#comment,,,,,한팩 x 4,
82443310_26182_0,f2daf0ee-fdb4-4c04-bcc4-6669a30d7d35,61a41e3044a3d24b858f5ce61403f4e699ab7ce8df09962eda85323770741abf,26182,82443310,아카시아,,,2,6900,13800,2박스,주문완료,2025-03-31 02:09:00+00,,,26182_comment_0,https://band.us/band/82443310/post/26182#comment,,,,,1키로 1박스 x 2,
82443310_26182_1,f2daf0ee-fdb4-4c04-bcc4-6669a30d7d35,61a41e3044a3d24b858f5ce61403f4e699ab7ce8df09962eda85323770741abf,26182,82443310,윤가네,,,1,6900,6900,1박스,주문완료,2025-03-31 02:15:00+00,,,26182_comment_1,https://band.us/band/82443310/post/26182#comment,,,,,1키로 1박스,
82443310_26182_10,f2daf0ee-fdb4-4c04-bcc4-6669a30d7d35,61a41e3044a3d24b858f5ce61403f4e699ab7ce8df09962eda85323770741abf,26182,82443310,가빈과일큰언니,,,4,6900,27600,@백마 감사합니다9,주문완료,2025-03-31 07:03:00+00,,,26182_comment_10,https://band.us/band/82443310/post/26182#comment,,,,,1키로 1박스 x 4,
82443310_26182_11,f2daf0ee-fdb4-4c04-bcc4-6669a30d7d35,61a41e3044a3d24b858f5ce61403f4e699ab7ce8df09962eda85323770741abf,26182,82443310,현희맘,,,1,6900,6900,1박스,수령완료,2025-03-31 08:00:00+00,,2025-03-31 15:14:46.79+00,26182_comment_11,https://band.us/band/82443310/post/26182#comment,,2025-03-31 15:14:46.79+00,,,1키로 1박스,
82443310_26182_12,f2daf0ee-fdb4-4c04-bcc4-6669a30d7d35,61a41e3044a3d24b858f5ce61403f4e699ab7ce8df09962eda85323770741abf,26182,82443310,가빈과일큰언니,,,10,6900,69000,@현희맘  감사합니다 10,주문완료,2025-03-31 08:03:00+00,,,26182_comment_12,https://band.us/band/82443310/post/26182#comment,,,,,1키로 1박스 x 10,
82443310_26182_13,f2daf0ee-fdb4-4c04-bcc4-6669a30d7d35,61a41e3044a3d24b858f5ce61403f4e699ab7ce8df09962eda85323770741abf,26182,82443310,김춘애,,,1,6900,6900,1박스요,수령완료,2025-03-31 08:27:00+00,,2025-03-31 13:56:03.752+00,26182_comment_13,https://band.us/band/82443310/post/26182#comment,,2025-03-31 13:56:03.752+00,,,1키로 1박스,
82443310_26182_2,f2daf0ee-fdb4-4c04-bcc4-6669a30d7d35,61a41e3044a3d24b858f5ce61403f4e699ab7ce8df09962eda85323770741abf,26182,82443310,가빈과일첫째,,,4,6900,27600,@아카시아 @윤가네 감사합니다3,주문완료,2025-03-31 02:20:00+00,,,26182_comment_2,https://band.us/band/82443310/post/26182#comment,,,,,1키로 1박스 x 4,
82443310_26182_3,f2daf0ee-fdb4-4c04-bcc4-6669a30d7d35,61a41e3044a3d24b858f5ce61403f4e699ab7ce8df09962eda85323770741abf,26182,82443310,쮸,,,3,6900,20700,3박스요,주문완료,2025-03-31 02:35:00+00,,,26182_comment_3,https://band.us/band/82443310/post/26182#comment,,,,,1키로 1박스 x 3,
82443310_26182_4,f2daf0ee-fdb4-4c04-bcc4-6669a30d7d35,61a41e3044a3d24b858f5ce61403f4e699ab7ce8df09962eda85323770741abf,26182,82443310,가빈과일첫째,,,4,6900,27600,@쮸 감사합니다6,주문완료,2025-03-31 02:44:00+00,,,26182_comment_4,https://band.us/band/82443310/post/26182#comment,,,,,1키로 1박스 x 4,
82443310_26182_5,f2daf0ee-fdb4-4c04-bcc4-6669a30d7d35,61a41e3044a3d24b858f5ce61403f4e699ab7ce8df09962eda85323770741abf,26182,82443310,채원.준우맘,,,1,6900,6900,1박,주문완료,2025-03-31 03:51:00+00,,,26182_comment_5,https://band.us/band/82443310/post/26182#comment,,,,,1키로 1박스,
82443310_26182_6,f2daf0ee-fdb4-4c04-bcc4-6669a30d7d35,61a41e3044a3d24b858f5ce61403f4e699ab7ce8df09962eda85323770741abf,26182,82443310,가빈과일첫째,,,4,6900,27600,@채원.준우맘 감사합니다7,주문완료,2025-03-31 04:10:00+00,,,26182_comment_6,https://band.us/band/82443310/post/26182#comment,,,,,1키로 1박스 x 4,
82443310_26182_7,f2daf0ee-fdb4-4c04-bcc4-6669a30d7d35,61a41e3044a3d24b858f5ce61403f4e699ab7ce8df09962eda85323770741abf,26182,82443310,율남매,,,1,6900,6900,1박스요,주문완료,2025-03-31 05:08:00+00,,,26182_comment_7,https://band.us/band/82443310/post/26182#comment,,,,,1키로 1박스,
82443310_26182_8,f2daf0ee-fdb4-4c04-bcc4-6669a30d7d35,61a41e3044a3d24b858f5ce61403f4e699ab7ce8df09962eda85323770741abf,26182,82443310,가빈과일첫째,,,4,6900,27600,@율남매 감사합니다8,주문완료,2025-03-31 05:20:00+00,,,26182_comment_8,https://band.us/band/82443310/post/26182#comment,,,,,1키로 1박스 x 4,
82443310_26182_9,f2daf0ee-fdb4-4c04-bcc4-6669a30d7d35,61a41e3044a3d24b858f5ce61403f4e699ab7ce8df09962eda85323770741abf,26182,82443310,백마,,,1,6900,6900,1박스요,수령완료,2025-03-31 06:38:00+00,,2025-03-31 15:14:52.388+00,26182_comment_9,https://band.us/band/82443310/post/26182#comment,,2025-03-31 15:14:52.388+00,,,1키로 1박스,
